Each Fragility and damage state and the quantity of items damaged building wide
Analysis,Fragility,DS,Information,Real 1

1,-,-,Has Unsafe Placard,False
1,-,-,Collapse,False
1,-,-,Residual Drift,False

1,B1031.011b,-,Total in Building,16
1,B1031.011b,-,Caused Unsafe Placard,False
1,B1031.011b,1/0,Number in DS,0
1,B1031.011b,1/0,Fraction Needed,0
1,B1031.011b,1/0,Fraction Damaged,0
1,B1031.011b,1/1,Number in DS,0
1,B1031.011b,1/1,Fraction Needed,0
1,B1031.011b,1/1,Fraction Damaged,0
1,B1031.011b,2,Number in DS,0
1,B1031.011b,2,Fraction Needed,0.369537884180111
1,B1031.011b,2,Fraction Damaged,0
1,B1031.011b,3,Number in DS,0
1,B1031.011b,3,Fraction Needed,0.0514732575328861
1,B1031.011b,3,Fraction Damaged,0

1,B1035.022,-,Total in Building,24
1,B1035.022,-,Caused Unsafe Placard,False
1,B1035.022,1,Number in DS,0
1,B1035.022,1,Fraction Needed,0
1,B1035.022,1,Fraction Damaged,0
1,B1035.022,2,Number in DS,0
1,B1035.022,2,Fraction Needed,0.391849944691224
1,B1035.022,2,Fraction Damaged,0
1,B1035.022,3,Number in DS,0
1,B1035.022,3,Fraction Needed,0.869784721483381
1,B1035.022,3,Fraction Damaged,0

1,B1035.032,-,Total in Building,24
1,B1035.032,-,Caused Unsafe Placard,False
1,B1035.032,1,Number in DS,0
1,B1035.032,1,Fraction Needed,0
1,B1035.032,1,Fraction Damaged,0
1,B1035.032,2,Number in DS,0
1,B1035.032,2,Fraction Needed,0.956337213360144
1,B1035.032,2,Fraction Damaged,0
1,B1035.032,3,Number in DS,0
1,B1035.032,3,Fraction Needed,0.562234168852818
1,B1035.032,3,Fraction Damaged,0

1,B2022.001,-,Total in Building,864
1,B2022.001,-,Caused Unsafe Placard,False
1,B2022.001,1,Number in DS,0
1,B2022.001,1,Fraction Needed,0
1,B2022.001,1,Fraction Damaged,0
1,B2022.001,2,Number in DS,0
1,B2022.001,2,Fraction Needed,1
1,B2022.001,2,Fraction Damaged,0

1,B3011.011,-,Total in Building,117
1,B3011.011,-,Caused Unsafe Placard,False
1,B3011.011,1,Number in DS,0
1,B3011.011,1,Fraction Needed,0
1,B3011.011,1,Fraction Damaged,0
1,B3011.011,2,Number in DS,0
1,B3011.011,2,Fraction Needed,0.317839827467195
1,B3011.011,2,Fraction Damaged,0


2,-,-,Has Unsafe Placard,False
2,-,-,Collapse,False
2,-,-,Residual Drift,False

2,B1031.011b,-,Total in Building,16
2,B1031.011b,-,Caused Unsafe Placard,False
2,B1031.011b,1/0,Number in DS,0
2,B1031.011b,1/0,Fraction Needed,0
2,B1031.011b,1/0,Fraction Damaged,0
2,B1031.011b,1/1,Number in DS,0
2,B1031.011b,1/1,Fraction Needed,0
2,B1031.011b,1/1,Fraction Damaged,0
2,B1031.011b,2,Number in DS,0
2,B1031.011b,2,Fraction Needed,0.172861766461395
2,B1031.011b,2,Fraction Damaged,0
2,B1031.011b,3,Number in DS,0
2,B1031.011b,3,Fraction Needed,0.204663301059132
2,B1031.011b,3,Fraction Damaged,0

2,B1035.022,-,Total in Building,24
2,B1035.022,-,Caused Unsafe Placard,False
2,B1035.022,1,Number in DS,0
2,B1035.022,1,Fraction Needed,0
2,B1035.022,1,Fraction Damaged,0
2,B1035.022,2,Number in DS,0
2,B1035.022,2,Fraction Needed,0.247606136763346
2,B1035.022,2,Fraction Damaged,0
2,B1035.022,3,Number in DS,0
2,B1035.022,3,Fraction Needed,0.941126208684749
2,B1035.022,3,Fraction Damaged,0

2,B1035.032,-,Total in Building,24
2,B1035.032,-,Caused Unsafe Placard,False
2,B1035.032,1,Number in DS,0
2,B1035.032,1,Fraction Needed,0
2,B1035.032,1,Fraction Damaged,0
2,B1035.032,2,Number in DS,0
2,B1035.032,2,Fraction Needed,0.355735540181979
2,B1035.032,2,Fraction Damaged,0
2,B1035.032,3,Number in DS,0
2,B1035.032,3,Fraction Needed,0.406458207389791
2,B1035.032,3,Fraction Damaged,0

2,B2022.001,-,Total in Building,864
2,B2022.001,-,Caused Unsafe Placard,False
2,B2022.001,1,Number in DS,0
2,B2022.001,1,Fraction Needed,0
2,B2022.001,1,Fraction Damaged,0
2,B2022.001,2,Number in DS,0
2,B2022.001,2,Fraction Needed,1
2,B2022.001,2,Fraction Damaged,0

2,B3011.011,-,Total in Building,117
2,B3011.011,-,Caused Unsafe Placard,False
2,B3011.011,1,Number in DS,0
2,B3011.011,1,Fraction Needed,0
2,B3011.011,1,Fraction Damaged,0
2,B3011.011,2,Number in DS,0
2,B3011.011,2,Fraction Needed,0.258448802548115
2,B3011.011,2,Fraction Damaged,0


3,-,-,Has Unsafe Placard,False
3,-,-,Collapse,False
3,-,-,Residual Drift,False

3,B1031.011b,-,Total in Building,16
3,B1031.011b,-,Caused Unsafe Placard,False
3,B1031.011b,1/0,Number in DS,0
3,B1031.011b,1/0,Fraction Needed,0
3,B1031.011b,1/0,Fraction Damaged,0
3,B1031.011b,1/1,Number in DS,0
3,B1031.011b,1/1,Fraction Needed,0
3,B1031.011b,1/1,Fraction Damaged,0
3,B1031.011b,2,Number in DS,0
3,B1031.011b,2,Fraction Needed,0.127348850392348
3,B1031.011b,2,Fraction Damaged,0
3,B1031.011b,3,Number in DS,0
3,B1031.011b,3,Fraction Needed,0.102564490214033
3,B1031.011b,3,Fraction Damaged,0

3,B1035.022,-,Total in Building,24
3,B1035.022,-,Caused Unsafe Placard,False
3,B1035.022,1,Number in DS,0
3,B1035.022,1,Fraction Needed,0
3,B1035.022,1,Fraction Damaged,0
3,B1035.022,2,Number in DS,0
3,B1035.022,2,Fraction Needed,0.460137294091231
3,B1035.022,2,Fraction Damaged,0
3,B1035.022,3,Number in DS,0
3,B1035.022,3,Fraction Needed,0.574515895422308
3,B1035.022,3,Fraction Damaged,0

3,B1035.032,-,Total in Building,24
3,B1035.032,-,Caused Unsafe Placard,False
3,B1035.032,1,Number in DS,0
3,B1035.032,1,Fraction Needed,0
3,B1035.032,1,Fraction Damaged,0
3,B1035.032,2,Number in DS,0
3,B1035.032,2,Fraction Needed,0.336040998547912
3,B1035.032,2,Fraction Damaged,0
3,B1035.032,3,Number in DS,0
3,B1035.032,3,Fraction Needed,0.344016341705136
3,B1035.032,3,Fraction Damaged,0

3,B2022.001,-,Total in Building,864
3,B2022.001,-,Caused Unsafe Placard,False
3,B2022.001,1,Number in DS,0
3,B2022.001,1,Fraction Needed,0
3,B2022.001,1,Fraction Damaged,0
3,B2022.001,2,Number in DS,0
3,B2022.001,2,Fraction Needed,1
3,B2022.001,2,Fraction Damaged,0

3,B3011.011,-,Total in Building,117
3,B3011.011,-,Caused Unsafe Placard,False
3,B3011.011,1,Number in DS,0
3,B3011.011,1,Fraction Needed,0
3,B3011.011,1,Fraction Damaged,0
3,B3011.011,2,Number in DS,0
3,B3011.011,2,Fraction Needed,0.301821027482813
3,B3011.011,2,Fraction Damaged,0


4,-,-,Has Unsafe Placard,False
4,-,-,Collapse,False
4,-,-,Residual Drift,False

4,B1031.011b,-,Total in Building,16
4,B1031.011b,-,Caused Unsafe Placard,False
4,B1031.011b,1/0,Number in DS,0
4,B1031.011b,1/0,Fraction Needed,0
4,B1031.011b,1/0,Fraction Damaged,0
4,B1031.011b,1/1,Number in DS,0
4,B1031.011b,1/1,Fraction Needed,0
4,B1031.011b,1/1,Fraction Damaged,0
4,B1031.011b,2,Number in DS,0
4,B1031.011b,2,Fraction Needed,0.328758116997218
4,B1031.011b,2,Fraction Damaged,0
4,B1031.011b,3,Number in DS,0
4,B1031.011b,3,Fraction Needed,0.184558923252127
4,B1031.011b,3,Fraction Damaged,0

4,B1035.022,-,Total in Building,24
4,B1035.022,-,Caused Unsafe Placard,False
4,B1035.022,1,Number in DS,0
4,B1035.022,1,Fraction Needed,0
4,B1035.022,1,Fraction Damaged,0
4,B1035.022,2,Number in DS,0
4,B1035.022,2,Fraction Needed,0.492087097118092
4,B1035.022,2,Fraction Damaged,0
4,B1035.022,3,Number in DS,0
4,B1035.022,3,Fraction Needed,0.643476174937425
4,B1035.022,3,Fraction Damaged,0

4,B1035.032,-,Total in Building,24
4,B1035.032,-,Caused Unsafe Placard,False
4,B1035.032,1,Number in DS,0
4,B1035.032,1,Fraction Needed,0
4,B1035.032,1,Fraction Damaged,0
4,B1035.032,2,Number in DS,0
4,B1035.032,2,Fraction Needed,0.648227853344044
4,B1035.032,2,Fraction Damaged,0
4,B1035.032,3,Number in DS,0
4,B1035.032,3,Fraction Needed,0.727687461850051
4,B1035.032,3,Fraction Damaged,0

4,B2022.001,-,Total in Building,864
4,B2022.001,-,Caused Unsafe Placard,False
4,B2022.001,1,Number in DS,0
4,B2022.001,1,Fraction Needed,0
4,B2022.001,1,Fraction Damaged,0
4,B2022.001,2,Number in DS,0
4,B2022.001,2,Fraction Needed,1
4,B2022.001,2,Fraction Damaged,0

4,B3011.011,-,Total in Building,117
4,B3011.011,-,Caused Unsafe Placard,False
4,B3011.011,1,Number in DS,0
4,B3011.011,1,Fraction Needed,0
4,B3011.011,1,Fraction Damaged,0
4,B3011.011,2,Number in DS,4
4,B3011.011,2,Fraction Needed,0.820411068594132
4,B3011.011,2,Fraction Damaged,0.0341880341880342


5,-,-,Has Unsafe Placard,False
5,-,-,Collapse,False
5,-,-,Residual Drift,False

5,B1031.011b,-,Total in Building,16
5,B1031.011b,-,Caused Unsafe Placard,False
5,B1031.011b,1/0,Number in DS,0
5,B1031.011b,1/0,Fraction Needed,0
5,B1031.011b,1/0,Fraction Damaged,0
5,B1031.011b,1/1,Number in DS,0
5,B1031.011b,1/1,Fraction Needed,0
